1	2	-92.80
1	4	-86.90
1	5	-72.59
1	6	-89.76
1	7	-81.92
1	8	-80.21
1	9	-90.63
1	12	-86.80
1	16	-94.36
1	17	-93.89
1	18	-81.50
1	19	-91.56
1	20	-88.22
1	22	-79.62
1	24	-86.71
1	25	-75.11
2	1	-92.80
2	4	-83.72
2	5	-93.65
2	6	-94.79
2	12	-92.67
2	18	-94.74
2	20	-82.29
2	21	-83.80
2	22	-94.31
2	23	-91.51
2	24	-77.66
3	5	-93.89
3	6	-83.96
3	10	-85.56
3	11	-73.00
3	12	-88.12
3	13	-88.32
3	14	-94.04
3	15	-90.83
3	16	-91.68
3	17	-81.50
3	20	-94.90
3	22	-91.68
3	23	-92.71
3	25	-94.65
4	1	-86.90
4	2	-83.72
4	5	-90.18
4	7	-93.39
4	8	-93.82
4	12	-92.87
4	18	-86.50
4	20	-86.71
4	21	-93.21
4	22	-92.03
4	24	-78.09
4	25	-91.99
5	1	-72.59
5	2	-93.65
5	3	-93.89
5	4	-90.18
5	6	-85.11
5	7	-84.55
5	8	-78.82
5	9	-89.09
5	12	-81.57
5	14	-94.17
5	16	-91.64
5	17	-90.84
5	18	-87.55
5	19	-93.62
5	20	-87.43
5	22	-66.11
5	24	-88.08
5	25	-67.64
6	1	-89.76
6	2	-94.79
6	3	-83.96
6	5	-85.11
6	7	-94.35
6	8	-90.73
6	9	-93.95
6	10	-86.17
6	11	-89.42
6	12	-68.43
6	13	-92.40
6	14	-94.31
6	15	-91.20
6	16	-91.41
6	17	-75.84
6	20	-87.04
6	21	-93.94
6	22	-81.17
6	23	-89.59
6	24	-91.38
6	25	-87.48
7	1	-81.92
7	4	-93.39
7	5	-84.55
7	6	-94.35
7	8	-74.36
7	9	-84.76
7	12	-92.98
7	14	-94.39
7	16	-93.04
7	18	-82.97
7	19	-83.00
7	22	-87.15
7	24	-94.33
7	25	-80.53
8	1	-80.21
8	4	-93.82
8	5	-78.82
8	6	-90.73
8	7	-74.36
8	9	-81.18
8	12	-89.37
8	14	-91.50
8	16	-89.30
8	18	-87.19
8	19	-89.00
8	20	-93.64
8	22	-81.17
8	24	-93.53
8	25	-70.14
9	1	-90.63
9	5	-89.09
9	6	-93.95
9	7	-84.76
9	8	-81.18
9	12	-93.82
9	14	-84.81
9	16	-83.73
9	18	-93.73
9	19	-90.79
9	22	-89.06
9	25	-85.66
10	3	-85.56
10	6	-86.17
10	11	-88.85
10	12	-88.08
10	13	-79.29
10	15	-74.88
10	17	-76.69
10	20	-90.92
10	21	-91.45
10	22	-93.57
10	23	-80.68
11	3	-73.00
11	6	-89.42
11	10	-88.85
11	12	-92.39
11	13	-88.91
11	14	-94.73
11	15	-92.68
11	16	-92.96
11	17	-87.40
11	22	-94.91
12	1	-86.80
12	2	-92.67
12	3	-88.12
12	4	-92.87
12	5	-81.57
12	6	-68.43
12	7	-92.98
12	8	-89.37
12	9	-93.82
12	10	-88.08
12	11	-92.39
12	13	-94.04
12	15	-92.14
12	16	-92.64
12	17	-80.40
12	18	-94.23
12	20	-83.25
12	21	-92.66
12	22	-77.48
12	23	-89.40
12	24	-88.28
12	25	-85.30
13	3	-88.32
13	6	-92.40
13	10	-79.29
13	11	-88.91
13	12	-94.04
13	15	-78.27
13	17	-87.11
13	23	-87.85
14	3	-94.04
14	5	-94.17
14	6	-94.31
14	7	-94.39
14	8	-91.50
14	9	-84.81
14	11	-94.73
14	16	-70.03
14	22	-93.05
14	25	-92.61
15	3	-90.83
15	6	-91.20
15	10	-74.88
15	11	-92.68
15	12	-92.14
15	13	-78.27
15	17	-85.45
15	20	-92.58
15	21	-90.19
15	23	-78.27
16	1	-94.36
16	3	-91.68
16	5	-91.64
16	6	-91.41
16	7	-93.04
16	8	-89.30
16	9	-83.73
16	11	-92.96
16	12	-92.64
16	14	-70.03
16	17	-94.62
16	22	-90.08
16	25	-90.04
17	1	-93.89
17	3	-81.50
17	5	-90.84
17	6	-75.84
17	10	-76.69
17	11	-87.40
17	12	-80.40
17	13	-87.11
17	15	-85.45
17	16	-94.62
17	20	-88.32
17	21	-92.42
17	22	-88.52
17	23	-85.05
17	24	-93.05
17	25	-92.68
18	1	-81.50
18	2	-94.74
18	4	-86.50
18	5	-87.55
18	7	-82.97
18	8	-87.19
18	9	-93.73
18	12	-94.23
18	19	-87.34
18	20	-93.47
18	22	-90.45
18	24	-90.52
18	25	-87.21
19	1	-91.56
19	5	-93.62
19	7	-83.00
19	8	-89.00
19	9	-90.79
19	18	-87.34
19	25	-91.75
20	1	-88.22
20	2	-82.29
20	3	-94.90
20	4	-86.71
20	5	-87.43
20	6	-87.04
20	8	-93.64
20	10	-90.92
20	12	-83.25
20	15	-92.58
20	17	-88.32
20	18	-93.47
20	21	-85.06
20	22	-87.48
20	23	-86.89
20	24	-75.53
20	25	-90.63
21	2	-83.80
21	4	-93.21
21	6	-93.94
21	10	-91.45
21	12	-92.66
21	15	-90.19
21	17	-92.42
21	20	-85.06
21	23	-82.59
21	24	-88.15
22	1	-79.62
22	2	-94.31
22	3	-91.68
22	4	-92.03
22	5	-66.11
22	6	-81.17
22	7	-87.15
22	8	-81.17
22	9	-89.06
22	10	-93.57
22	11	-94.91
22	12	-77.48
22	14	-93.05
22	16	-90.08
22	17	-88.52
22	18	-90.45
22	20	-87.48
22	23	-94.43
22	24	-89.30
22	25	-72.97
23	2	-91.51
23	3	-92.71
23	6	-89.59
23	10	-80.68
23	12	-89.40
23	13	-87.85
23	15	-78.27
23	17	-85.05
23	20	-86.89
23	21	-82.59
23	22	-94.43
23	24	-91.85
24	1	-86.71
24	2	-77.66
24	4	-78.09
24	5	-88.08
24	6	-91.38
24	7	-94.33
24	8	-93.53
24	12	-88.28
24	17	-93.05
24	18	-90.52
24	20	-75.53
24	21	-88.15
24	22	-89.30
24	23	-91.85
24	25	-90.89
25	1	-75.11
25	3	-94.65
25	4	-91.99
25	5	-67.64
25	6	-87.48
25	7	-80.53
25	8	-70.14
25	9	-85.66
25	12	-85.30
25	14	-92.61
25	16	-90.04
25	17	-92.68
25	18	-87.21
25	19	-91.75
25	20	-90.63
25	22	-72.97
25	24	-90.89
