0 	1 	-52	35	25	45	15
1 	0 	-52	45	15	35	25
0	2	-59	35	25	45	35
2	0	-59	45	35	35	25
1 	3 	-58	45	15	35	5
3 	1	-58	35	5	45	15
1	4	-53	45	15	55	5
4	1	-53	55	5	45	15
1	5	-54	45	15	55	25
5	1	-54	55	25	45	15
5	6	-58	55	25	65	35
6	5	-58	65	35	55	25
2	7 	-51	45	35	45	45
7	2	-51	45	45	45	35
2	8	-54	45	35	55	45
8	2	-54	55	45	45	35
8	9	-57	55	45	55	55
9	8	-57	55	55	55	45
10	12	-58	75	65	75	55
12	10	-58	75	55	75	65
10	18	-67	75	65	65	55
18	10	-67	65	55	75	65
10	15	-54	75	65	95	65
15	10	-54	95	65	75	65
11	17	-50	65	75	65	65
17	11	-50	65	65	65	75
12	19	-58	75	55	45	55
19	12	-58	45	55	75	55
12	13	-52	75	55	65	45
13	12	-52	65	45	75	55
12	16	-56	75	55	75	45
16	12	-56	75	45	75	55
13	19	-51	65	45	45	55
19	13	-51	45	55	65	45
13	16	-57	65	45	75	45
16	13	-57	75	45	65	45
14	15	-59	105	65	95	65
15	14	-59	95	65	105	65	
17	18	-51	65	65	65	55
18	17	-51	65	55	65	65
2	18	-54	45	35	65	55
18	2	-54	65	55	45	35
9	17	-58	55	55	65	65
17	9	-58	65	65	55	55
6	16	-59	65	35	75	45
16	6	-59	75	45	65	35
8	19	-52	55	45	45	55
19	8	-52	45	55	55	45
20	21	-51	25	75	15	65
21	20	-51	15	65	25	75
20	22	-57	25	75	35	75
22	20	-57	35	75	25	75
21	23	-59	15	65	15	45
23	21	-59	15	45	15	65
21	24	-55	15	65	25	55
24	21	-55	25	55	15	65
23	26	-57	15	45	5	35
26	23	-57	5	35	15	45
23	27	-51	15	45	35	45
27	23	-51	35	45	15	45
23	28	-54	15	45	25	35
28	23	-54	25	35	15	45
22	25	-56	35	75	45	75
25	22	-56	45	75	35	75
25	29	-52	45	75	55	65
29	25	-52	55	65	45	75
27	2	-46	35	45	45	35
2	27	-46	45	35	35	45
0	28	-51	35	25	25	35
28	0	-51	25	35	35	25
24	19	-55	25	55	45	55
19	24	-55	45	55	25	55
29	10	-53	55	65	75	65
10	29	-53	75	65	55	65
